City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
555,samarai,-10.6167,150.6667,301.26,78,100,3.32,PG,1680729797
556,vakhtan,57.9659,46.6889,277.24,88,100,4.05,RU,1680729924
557,monrovia,6.3005,-10.7969,299.86,85,79,3.2,LR,1680729862
558,port keats,-14.25,129.55,299.35,76,100,2.25,AU,1680729925
559,omsukchan,62.5333,155.8,256.12,99,98,2.32,RU,1680729925
560,kon tum,14.35,108.0,295.31,89,70,0.64,VN,1680729925
561,aksarka,66.5606,67.7975,254.22,89,100,10.75,RU,1680729926
562,great yarmouth,52.6083,1.7305,282.05,86,100,3.49,GB,1680729926
563,fereydun kenar,36.6864,52.5225,289.13,64,29,3.25,IR,1680729927
564,mtwara,-10.2667,40.1833,297.11,93,47,2.92,TZ,1680729928
565,christchurch,-43.5333,172.6333,286.75,82,100,2.06,NZ,1680729703
566,tual,-5.6667,132.75,300.21,82,100,9.12,ID,1680729928
567,gazanjyk,39.2446,55.5154,287.74,41,14,5.14,TM,1680729929
568,rosetta,31.4044,30.4164,288.51,73,0,3.07,EG,1680729929
569,bubaque,11.2833,-15.8333,298.81,75,68,7.41,GW,1680729930
570,djambala,-2.5447,14.7533,294.95,77,37,0.86,CG,1680729931
571,alamosa,37.4695,-105.87,276.14,18,100,5.66,US,1680729931
572,osmaniye,37.0742,36.2478,284.96,92,5,2.18,TR,1680729931
573,kaoma,-14.7833,24.8,291.16,85,60,2.52,ZM,1680729932
574,tadine,-21.55,167.8833,300.12,81,1,7.1,NC,1680729932
575,agirish,61.9247,63.0231,272.04,91,99,4.53,RU,1680729933
